title,tagline,description,instructions,muscles_targeted,difficulty,tips_and_tricks,max_bodyweight_percentage,min_bodyweight_percentage,min_rep_duration,max_rep_duration,is_body_weight
Kettlebell Bottoms-Up Lunge,Improve Balance and Coordination,This exercise challenges your stability.,1. Hold the kettlebell upside down by the handle.,"Quads, Glutes, Hamstrings, Shoulders, Core",Advanced,"- Start with a light kettlebell until you feel comfortable with the exercise. - Keep your core tight throughout the exercise. - Focus on your form and balance, rather than speed.",75,50,2,4,No
Kettlebell Rack and Roll,Build Strong Shoulders and Improve Mobility,This exercise targets your shoulders and core.,"1. Start by holding the kettlebell in the rack position with your elbow close to your body and your wrist straight. 2. Keeping your elbow close to your body, lift the kettlebell up to your shoulder. 3. From the rack position, roll the kettlebell back to your chest, keeping your wrist straight. 4. Repeat for the desired number of reps before switching sides.","Shoulders, Core",Intermediate,- Keep your core tight throughout the exercise. - Avoid using momentum to lift the kettlebell. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.,75,50,3,5,No
Kettlebell Single-Arm Floor Press,Increase Chest and Tricep Strength,This exercise isolates the chest and tricep muscles.,"1. Lie on your back with your knees bent and your feet flat on the ground. Hold the kettlebell in one hand with your elbow on the floor. 2. Keeping your wrist straight, press the kettlebell up towards the ceiling until your arm is fully extended. 3. Lower the kettlebell back down to your chest and repeat for the desired number of reps before switching sides.","Chest, Triceps",Beginner,- Keep your core engaged throughout the exercise. - Exhale as you press the kettlebell up and inhale as you lower it down. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.,75,50,1,2,No
Kettlebell Shrug,Improve Upper Back Strength and Posture,This exercise targets the upper back muscles.,"1. Start by holding the kettlebell with both hands in front of your thighs, palms facing in. 2. Keeping your arms straight, lift the kettlebell straight up towards your chin by shrugging your shoulders up. 3. Lower the kettlebell back down to your thighs and repeat for the desired number of reps.","Upper Back, Trapezius",Beginner,"- Keep your back straight and your core engaged throughout the exercise. - Avoid shrugging your shoulders up to your ears. Instead, focus on lifting your shoulders straight up and squeezing your shoulder blades together. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.",75,50,1,2,No
Kettlebell Side Bend,Improve Core Strength and Stability,This exercise targets the oblique muscles and improves core strength and stability.,"1. Stand with your feet hip-width apart, holding the kettlebell in your right hand. 2. Keeping your core tight, bend to the right as far as you can without twisting your hips. 3. Pause, then return to the starting position. 4. Repeat for the desired number of reps before switching sides.","Obliques, Core",Beginner,- Keep your back straight and your core engaged throughout the exercise. - Don't twist your hips as you bend to the side. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.,60,40,1,2,No
Kettlebell Woodchopper,Build Total Body Strength and Improve Coordination,This exercise targets your entire body and improves coordination.,"1. Stand with your feet hip-width apart, holding the kettlebell with both hands. 2. Raise the kettlebell overhead with both hands, keeping your arms straight. 3. Swing the kettlebell down to the outside of your left knee, bending your knees and rotating your hips as you do so. 4. Swing the kettlebell back up to the starting position, using your hips and legs to power the movement. 5. Repeat for the desired number of reps before switching sides.","Shoulders, Back, Core, Glutes, Quads",Intermediate,"- Keep your back straight and your core engaged throughout the exercise. - Use your hips and legs to power the movement, not your arms. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.",75,50,1,2,No
Kettlebell Double Swing,Increase Power and Build Total Body Strength,"This exercise is a variation of the classic kettlebell swing, using two kettlebells to increase power and build total body strength.","1. Stand with your feet hip-width apart, holding a kettlebell in each hand. 2. Bend your knees and hinge forward at the hips, swinging the kettlebells back between your legs. 3. Explosively stand up, swinging the kettlebells up to shoulder height. 4. Let the kettlebells swing back down between your legs, and repeat for the desired number of reps.","Shoulders, Back, Core, Glutes, Quads",Advanced,"- Keep your back straight and your core engaged throughout the exercise. - Use your hips and legs to power the movement, not your arms. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.",85,60,1,2,No
Kettlebell Split-Squat,Increase Leg Strength and Improve Balance,This exercise targets the quads and glutes and improves leg strength and balance.,"1. Start by standing with your feet hip-width apart, holding a kettlebell in each hand. 2. Take a big step back with your right foot and bend both knees to lower your body down into a lunge position. 3. Pause, then push back up to the starting position. 4. Repeat for the desired number of reps before switching sides.","Quads, Glutes",Intermediate,- Keep your core engaged throughout the exercise. - Avoid letting your front knee go past your toes as you lunge. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable.,75,50,1,2,No
Kettlebell Get-Up Sit-Up,Build Core Strength and Improve Mobility,This exercise combines the kettlebell get-up and sit-up to improve core strength and mobility.,"1. Lie on your back with your knees bent and your feet flat on the ground, holding a kettlebell in your right hand. 2. Press the kettlebell up towards the ceiling with your arm fully extended. 3. Keeping your eyes on the kettlebell, sit up to a seated position. 4. Stand up while keeping the kettlebell overhead. 5. Reverse the movements to return to the starting position. 6. Repeat for the desired number of reps before switching sides.",Core,Advanced,- Keep your core engaged throughout the exercise. - Use a lighter kettlebell to start and progress to a heavier weight as you feel comfortable. - Break the exercise down into each movement and practice each one before putting them together.,85,60,3,5,No
Kettlebell Arm Bar,Improve Your Shoulder Mobility and Stability,The Kettlebell Arm Bar is an exercise that promotes shoulder stability and mobility. It also helps to increase thoracic spine mobility and core strength.,"1. Lie on your back with your knees bent and your feet flat on the floor. 2. Hold the kettlebell with your right hand, and press it straight up towards the ceiling. 3. Roll onto your left side while keeping the kettlebell pressed up. 4. Press your right foot into the ground and roll onto your right side, bringing the kettlebell with you. 5. Extend your right arm overhead, keeping the kettlebell vertical. 6. Reverse the movement to return to the starting position.","Shoulders, thoracic spine, core",Intermediate,"Make sure to keep your wrist in a neutral position throughout the exercise. Also, ensure that the kettlebell stays vertical and that your arm remains straight. To increase the challenge, you can try holding the kettlebell for a longer duration or increasing the weight of the kettlebell.",80,50,3,5,No
Kettlebell Plank Row,Strengthen Your Core and Upper Body,"The Kettlebell Plank Row is an exercise that targets the core and upper body. It helps to improve stability, strength, and balance.",1. Begin in a high plank position with your hands gripping the kettlebells. 2. Row one kettlebell up to your ribcage while keeping your body in a straight line. 3. Lower the kettlebell back down and repeat on the other side. 4. Continue alternating sides for the desired number of reps.,"Core, upper back, shoulders, biceps, triceps, lats",Intermediate,"Keep your core engaged throughout the exercise and avoid letting your hips sag. Also, make sure to pull the kettlebell up towards your ribcage while keeping your elbow close to your body. To increase the challenge, you can try holding a static plank position for a longer duration or increasing the weight of the kettlebells.",80,50,2,3,No
Kettlebell Strict Press,Build Strong Shoulders and Arms,The Kettlebell Strict Press is a classic exercise that targets the shoulders and arms. It helps to increase strength and stability in the upper body.,"1. Begin with the kettlebell in the rack position, with your elbow close to your body and your wrist in a neutral position. 2. Press the kettlebell straight up towards the ceiling, keeping your core engaged and your wrist straight. 3. Lower the kettlebell back down to the rack position and repeat for the desired number of reps.","Shoulders, triceps, biceps",Intermediate,"Make sure to keep your wrist in a neutral position throughout the exercise, and avoid shrugging your shoulders. To increase the challenge, you can try increasing the weight of the kettlebell or performing the exercise for a longer duration.",80,50,1,2,No
Kettlebell Front Rack Lunge,Build Leg Strength with Kettlebell Lunges,"The Kettlebell Front Rack Lunge is a compound exercise that targets the quadriceps, glutes, hamstrings, and core while also improving balance and stability.","1. Start by standing with your feet shoulder-width apart and hold a kettlebell in the front rack position, with your elbows close to your body. 2. Step forward with one foot and lower your body until your front thigh is parallel to the ground. Your back knee should be bent and hovering above the ground. 3. Push off with your front foot to return to the starting position. 4. Repeat on the opposite leg.","Quadriceps, Glutes, Hamstrings, Core",Intermediate,Keep your chest up and engage your core throughout the exercise. Use a weight that challenges you but allows you to maintain proper form.,80,50,2,3,No
Kettlebell Single-Arm Overhead Squat,Build Full-Body Strength and Stability,"The Kettlebell Single-Arm Overhead Squat is a challenging exercise that targets the legs, shoulders, and core while also improving balance and stability.","1. Start by holding a kettlebell overhead with one arm, elbow fully extended. 2. Hold the kettlebell steady and squat down, keeping your chest up and your weight on your heels. 3. Pause briefly at the bottom of the squat, then stand back up. 4. Repeat for desired reps and then switch arms.","Legs, Shoulders, Core",Advanced,Keep your arm extended throughout the exercise and engage your core to maintain proper form. Start with a lighter weight and focus on technique before increasing the load.,80,50,6,8,No
Kettlebell Reverse Fly,Strengthen your upper back and shoulders with this kettlebell exercise,"The Kettlebell Reverse Fly is an effective exercise that targets your upper back and shoulders, helping to improve your posture and upper body strength.","1. Stand with your feet shoulder-width apart and hold a kettlebell in each hand with palms facing each other. 2. Hinge at the hips and bend forward, keeping your back straight and core engaged. 3. Slightly bend your elbows and raise your arms out to the sides until they are parallel to the ground. 4. Hold for a moment, then slowly lower the weights back down to the starting position.",Upper back and shoulders,Intermediate,- Keep your neck in a neutral position throughout the exercise. - Focus on squeezing your shoulder blades together at the top of the movement.,80,20,2,3,No
Kettlebell Double Bent Over Row,Strengthen your back and biceps with this kettlebell exercise,"The Kettlebell Double Bent Over Row is an effective exercise that targets your back and biceps, helping to improve your posture and upper body strength.","1. Stand with your feet shoulder-width apart and hold a kettlebell in each hand with palms facing in. 2. Hinge at the hips and bend forward, keeping your back straight and core engaged. 3. Bend your elbows and lift the weights up towards your chest, squeezing your shoulder blades together at the top of the movement. 4. Lower the weights back down to the starting position.",Back and biceps,Intermediate,"- Keep your neck in a neutral position throughout the exercise. - Focus on pulling the weights towards your chest with your back muscles, rather than just using your arms.",80,20,2,3,No
Kettlebell Alternating Snatch,Build explosive power and improve your conditioning with this kettlebell exercise,"The Kettlebell Alternating Snatch is a full-body exercise that targets your legs, glutes, core, shoulders, and arms. It is a great exercise to build explosive power and improve your conditioning.","1. Begin by standing with your feet shoulder-width apart and hold a kettlebell in one hand between your legs. 2. Swing the kettlebell back between your legs and then quickly drive your hips forward, explosively lifting the kettlebell up to shoulder height. 3. As the kettlebell reaches shoulder height, punch your arm up towards the ceiling and straighten your elbow. 4. Lower the kettlebell back down to the starting position and repeat on the other side.","Legs, glutes, core, shoulders, and arms",Advanced,"- Practice the movement pattern without a kettlebell first to ensure proper form. - Keep your core engaged throughout the exercise to protect your lower back. - Use your legs and hips to generate power, not just your arms.",100,40,1,2,No
Kettlebell Close Grip Floor Press,Strengthen your triceps and chest with this kettlebell exercise,"The Kettlebell Close Grip Floor Press is an effective exercise that targets your triceps and chest, helping to improve your upper body strength and stability.","1. Lie on your back on the floor with your knees bent and feet flat on the ground. Hold a kettlebell in each hand with palms facing each other and elbows close to your sides. 2. Press the kettlebells up towards the ceiling until your arms are fully extended. 3. Lower the kettlebells down towards your chest, keeping your elbows close to your sides. 4. Once the kettlebells touch your chest, press them back up towards the ceiling.",Triceps and chest,Intermediate,- Keep your core engaged throughout the exercise to protect your lower back. - Keep your elbows close to your sides to target your triceps. - Use a weight that allows you to maintain proper form throughout the exercise.,80,20,2,3,No
Kettlebell Skull Crusher,Build strong triceps with this kettlebell exercise,The Kettlebell Skull Crusher is a great exercise to isolate and strengthen your triceps. This exercise can be performed lying down or standing up.,"1. Begin by lying down on your back on a bench or the floor, holding a kettlebell with both hands above your chest. 2. Bend your elbows and lower the kettlebell towards your forehead, keeping your elbows close to your head. 3. Pause when the kettlebell is just above your forehead, and then extend your arms back up towards the ceiling. 4. Repeat for the desired number of repetitions.",Triceps,Intermediate,"- Keep your elbows close to your head throughout the exercise to target your triceps. - Use a weight that allows you to maintain proper form throughout the exercise. - If performing the exercise standing up, keep your feet shoulder-width apart and your core engaged for stability.",80,20,2,3,No
Kettlebell Single-Arm Rack Squat,Strengthen your legs and core with this kettlebell exercise,"The Kettlebell Single-Arm Rack Squat is an effective exercise that targets your legs and core, helping to improve your lower body strength and stability.","1. Begin by holding a kettlebell in one hand and bringing it up to your shoulder, with your elbow bent and the kettlebell resting on your forearm. 2. Stand with your feet shoulder-width apart and your toes pointing forward. 3. Lower your body into a squat position by bending your knees and hips, while keeping your chest lifted and your core engaged. 4. Pause briefly at the bottom of the squat and then return to standing. 5. Repeat for the desired number of repetitions and then switch sides.",Legs and core,Intermediate,"- Keep your chest lifted and your core engaged throughout the exercise to maintain proper form. - Use a weight that allows you to maintain proper form throughout the exercise. - If you experience any pain or discomfort, stop the exercise immediately.",80,20,2,3,No
Kettlebell Deck Squat to Press,Build total-body strength and coordination with this kettlebell exercise,"The Kettlebell Deck Squat to Press is a full-body exercise that targets your legs, glutes, core, shoulders, and arms. It is a great exercise to build total-body strength and coordination.",1. Begin by standing with your feet hip-width apart and holding a kettlebell with both hands at chest height. 2. Lower your body down to the ground by bending your knees and sitting back onto your heels. Roll onto your back and extend your legs straight out in front of you. 3. Roll back up to a seated position and then stand back up while pressing the kettlebell overhead. 4. Lower the kettlebell back down to chest height and repeat for the desired number of repetitions.,"Legs, glutes, core, shoulders, and arms",Advanced,"- Keep your core engaged throughout the exercise to protect your lower back. - Use a weight that allows you to maintain proper form throughout the exercise. - If you experience any pain or discomfort, stop the exercise immediately.",80,20,2,3,No
Kettlebell Jefferson Curl,Improve your spinal mobility and flexibility with this kettlebell exercise,"The Kettlebell Jefferson Curl is a great exercise to improve your spinal mobility and flexibility. It targets the muscles in your back, hamstrings, and calves.","1. Begin by holding a kettlebell with both hands in front of your body, with your arms straight and your palms facing your body. 2. Slowly roll your spine down, starting with your neck and working your way down to your lower back. 3. Keep your legs straight and try to touch your toes with the kettlebell. 4. Slowly roll your spine back up to a standing position.","Back, hamstrings, and calves",Advanced,"- Keep your core engaged throughout the exercise to protect your lower back. - Use a weight that allows you to maintain proper form throughout the exercise. - If you experience any pain or discomfort, stop the exercise immediately.",50,10,2,3,No
Kettlebell Jump Squat,Build explosive power and improve your lower body strength with this kettlebell exercise,"The Kettlebell Jump Squat is an effective exercise that targets your legs, glutes, and core, helping to build explosive power and improve your lower body strength.","1. Begin by holding a kettlebell with both hands at chest height. 2. Stand with your feet shoulder-width apart and lower your body into a squat position, keeping your chest lifted and your core engaged. 3. Explosively jump up into the air, extending your hips, knees, and ankles. 4. Land softly back in the squat position and repeat for the desired number of repetitions.","Legs, glutes, and core",Advanced,- Use a weight that allows you to maintain proper form throughout the exercise. - Land softly to protect your joints. - Engage your core throughout the exercise to maintain proper form.,80,20,1,2,No
Kettlebell Hand-to-Hand Swing,Build explosive power and improve your cardiovascular fitness with this kettlebell exercise,"The Kettlebell Hand-to-Hand Swing is a dynamic exercise that targets your legs, glutes, back, and shoulders, while also improving your cardiovascular fitness and explosiveness.","1. Begin by standing with your feet shoulder-width apart and holding a kettlebell in one hand at hip height, with your palm facing inward. 2. Swing the kettlebell back and then explosively swing it forward, using the power from your legs and hips to propel the kettlebell. 3. At the top of the swing, transfer the kettlebell to your other hand and then repeat, transferring the kettlebell back and forth between your hands with each swing. 4. Continue for the desired number of repetitions or time.","Legs, glutes, back, and shoulders",Advanced,- Keep your core engaged throughout the exercise to maintain proper form. - Use a weight that challenges you but allows you to maintain proper form throughout the exercise. - Engage your legs and hips to generate power for the swing.,80,20,1,2,No
Kettlebell Goblet Thruster,Build leg and shoulder strength with this full-body kettlebell exercise,"The Kettlebell Goblet Thruster is a full-body exercise that targets your legs, shoulders, and core, helping to build strength and power.","1. Begin by holding a kettlebell by the horns at chest height, with your feet shoulder-width apart. 2. Lower your body into a squat position, keeping your chest lifted and your core engaged. 3. Explosively stand up, pressing the kettlebell overhead as you do so. 4. Lower the kettlebell back down to chest height and repeat for the desired number of repetitions.","Legs, shoulders, and core",Intermediate,- Use a weight that challenges you but allows you to maintain proper form throughout the exercise. - Keep your chest lifted throughout the exercise to maintain proper form. - Engage your core to protect your lower back.,80,20,1,2,No
Kettlebell Side Lunge and Touch,Improve your lower body strength and flexibility with this kettlebell exercise,"The Kettlebell Side Lunge and Touch is a great exercise to improve your lower body strength and flexibility, as well as your balance and coordination.","1. Begin by holding a kettlebell in one hand at shoulder height. 2. Take a big step to the side with the opposite leg, lowering your body into a side lunge position while reaching down with the kettlebell to touch the ground. 3. Push off the ground with your bent leg to return to the starting position. 4. Repeat on the other side, alternating sides for the desired number of repetitions.",Legs and glutes,Beginner,- Use a weight that allows you to maintain proper form throughout the exercise. - Keep your chest lifted throughout the exercise to maintain proper form. - Engage your core to protect your lower back.,50,10,2,3,No
Kettlebell Double Push Press,Build upper body and core strength with this explosive kettlebell exercise,"The Kettlebell Double Push Press is an explosive exercise that targets your shoulders, triceps, chest, and core, helping to build upper body and core strength.","1. Begin by holding a kettlebell in each hand at shoulder height, with your palms facing inward. 2. Dip down into a quarter squat and then explosively press the kettlebells overhead, using the power from your legs and hips to propel the kettlebells. 3. Lower the kettlebells back down to shoulder height and repeat for the desired number of repetitions.","Shoulders, triceps, chest, and core",Intermediate,- Use a weight that challenges you but allows you to maintain proper form throughout the exercise. - Keep your core engaged throughout the exercise to maintain proper form. - Engage your legs and hips to generate power for the press.,80,20,1,2,No
Kettlebell Racked Reverse Lunges,Build leg strength and stability with this kettlebell exercise,"The Kettlebell Racked Reverse Lunges is a great exercise to build leg strength and stability, as well as improve your balance and coordination.","1. Begin by holding a kettlebell in one hand at shoulder height, with your elbow close to your body and your palm facing upward. 2. Step back with the opposite leg, lowering your body into a lunge position while keeping the kettlebell in the racked position. 3. Push off the ground with your bent leg to return to the starting position. 4. Repeat on the other side, alternating sides for the desired number of repetitions.",Legs and glutes,Intermediate,- Use a weight that allows you to maintain proper form throughout the exercise. - Keep your chest lifted throughout the exercise to maintain proper form. - Engage your core to protect your lower back.,60,20,2,3,No
Kettlebell Lateral Swing,Strengthen your obliques and improve hip mobility with this dynamic exercise.,The kettlebell lateral swing is a variation of the traditional kettlebell swing that targets your obliques and hips.,"1. Stand with your feet shoulder-width apart and hold the kettlebell with both hands in front of you. 2. Swing the kettlebell to the outside of your left leg, keeping your core engaged and your back straight. 3. Return the kettlebell to the starting position, then swing it to the outside of your right leg.","Obliques, hips",Intermediate,Keep your core tight throughout the movement to protect your lower back.,80,20,1,2,No
Kettlebell Dead Clean,Build explosive power with this full-body exercise.,"The kettlebell dead clean is a compound exercise that works your legs, hips, and upper body.","1. Start with two kettlebells on the floor in front of you. 2. Hinge at the hips and grasp the handles of the kettlebells. 3. Stand up and explosively shrug the kettlebells up towards your shoulders, keeping your elbows high and close to your body. 4. Lower the kettlebells back down to the floor under control, and repeat for the desired number of reps.","Legs, hips, upper body",Intermediate,Keep your core engaged throughout the movement to protect your lower back.,80,20,1,2,No